Kecamatan,2013,2014,2015,2016,2017,2018,2019,2020,2021
ANDIR,32,76,21,106,33,67,56,9,31
ANTAPANI,43,43,76,170,92,128,22,12,8
ARCAMANIK,54,23,46,185,62,95,73,35,37
ASTANAANYAR,23,18,45,67,58,90,76,44,58
BABAKAN CIPARAY,122,36,28,89,17,88,64,69,147
BANDUNG KIDUL,43,73,57,163,82,74,107,22,40
BANDUNG KULON,112,24,92,136,25,47,134,14,28
BANDUNG WETAN,76,34,14,39,24,35,23,67,83
BATUNUNGGAL,43,86,49,210,131,162,21,15,31
BOJONGLOA KALER,23,90,11,64,24,89,6,51,68
BOJONGLOA KIDUL,14,79,38,80,18,84,46,33,55
BUAHBATU,45,64,78,293,134,131,45,49,60
CIBEUNYING KALER,19,32,25,144,64,112,28,11,14
CIBEUNYING KIDUL,24,53,12,141,106,222,57,38,38
CIBIRU,53,74,34,124,29,105,92,78,79
CICENDO,57,42,33,108,34,93,14,25,17
CIDADAP,38,12,21,68,12,45,4,48,39
CINAMBO,153,83,36,36,26,24,28,21,12
COBLONG,34,10,85,292,127,187,38,26,34
GEDEBAGE,87,109,28,93,29,56,28,41,33
KIARACONDONG,54,34,38,203,114,175,20,18,21
LENGKONG,75,86,28,226,138,90,42,55,36
MANDALAJATI,11,36,20,71,33,95,72,30,85
PANYILEUKAN,45,95,42,48,34,48,90,54,104
RANCASARI,23,42,43,206,89,100,31,36,36
REGOL,65,78,25,159,115,80,89,87,151
SUKAJADI,19,134,21,97,36,95,26,24,51
SUKASARI,24,46,26,96,43,87,35,43,46
SUMUR BANDUNG,53,32,41,37,25,41,94,56,59
UJUNG BERUNG,57,26,26,129,32,81,15,32,14
